Incident ID,Offence Code,Victims,Crime Against,Crime Name,Crime Category,Police District Name,Police District Number,City,State,Zip Code,Agency
201087096,2399,1,Crime Against Property,All other Larceny,LARCENY (DESCRIBE OFFENSE),GERMANTOWN,5D,GERMANTOWN,MD,20874,MCPD
201087097,2303,1,Crime Against Property,Shoplifting,LARCENY - SHOPLIFTING,WHEATON,4D,ROCKVILLE,MD,20906,MCPD
201087097,5202,1,Crime Against Society,Weapon Law Violations,WEAPON - CONCEALED,WHEATON,4D,ROCKVILLE,MD,20906,MCPD
201087097,5707,1,Crime Against Society,Trespass of Real Property,TRESPASSING,WHEATON,4D,ROCKVILLE,MD,20906,MCPD
201087100,1315,1,Crime Against Person,Aggravated Assault,ASSAULT - AGGRAVATED - OTHER,GERMANTOWN,5D,GERMANTOWN,MD,20876,MCPD
201087102,3562,1,Crime Against Society,Drug/Narcotic Violations,DRUGS - MARIJUANA - POSSESS,SILVER SPRING,3D,SILVER SPRING,MD,20910,MCPD
201087104,5311,1,Crime Against Society,Disorderly Conduct,PUBLIC PEACE - DISORDERLY CONDUCT,ROCKVILLE,1D,ROCKVILLE,MD,20850,RCPD
201087108,1313,1,Crime Against Person,Simple Assault,ASSAULT - SIMPLE,GERMANTOWN,5D,GERMANTOWN,MD,20874,MCPD
201087119,5707,1,Crime Against Society,Trespass of Real Property,TRESPASSING,ROCKVILLE,1D,ROCKVILLE,MD,20850,RCPD
201087133,9199,1,Other,All Other Offenses,POLICE INFORMATION,BETHESDA,2D,ROCKVILLE,MD,20817,MCPD
201087133,2602,1,Crime Against Property,False Pretenses/Swindle/Confidence Game,FRAUD - SWINDLE,BETHESDA,2D,ROCKVILLE,MD,20850,MCPD
201087135,3550,1,Crime Against Society,Drug Equipment Violations,DRUGS - NARCOTIC EQUIP - POSSESS,SILVER SPRING,3D,SILVER SPRING,MD,20910,MCPD
201087136,2903,1,Crime Against Property,Destruction/Damage/Vandalism of Property,DAMAGE PROPERTY - PUBLIC,SILVER SPRING,3D,TAKOMA PARK,MD,20912,MCPD
201087139,3512,1,Crime Against Society,Drug/Narcotic Violations,DRUGS - HEROIN - POSSESS,ROCKVILLE,1D,ROCKVILLE,MD,20850,RCPD
201087143,3582,1,Crime Against Society,Drug/Narcotic Violations,DRUGS - BARBITURATE - POSSESS,SILVER SPRING,3D,SILVER SPRING,MD,20901,MCPD
201087143,3562,1,Crime Against Society,Drug/Narcotic Violations,DRUGS - MARIJUANA - POSSESS,SILVER SPRING,3D,SILVER SPRING,MD,20901,MCPD
201087148,3615,1,Crime Against Society,All Other Offenses,SEX OFFENSE - INDECENT EXPOSURE TO ADULT,SILVER SPRING,3D,SILVER SPRING,MD,20910,MCPD
201087148,5311,1,Crime Against Society,Disorderly Conduct,PUBLIC PEACE - DISORDERLY CONDUCT,SILVER SPRING,3D,SILVER SPRING,MD,20910,MCPD
201087150,2589,1,Crime Against Property,Counterfeiting/Forgery,FORGERY (DESCRIBE OFFENSE),MONTGOMERY VILLAGE,6D,GAITHERSBURG,MD,20877,GPD
201087152,4199,1,Crime Against Society,Liquor Law Violations,LIQUOR (DESCRIBE OFFENSE),GERMANTOWN,5D,GERMANTOWN,MD,20874,MCPD
201087158,2903,1,Crime Against Property,Destruction/Damage/Vandalism of Property,DAMAGE PROPERTY - PUBLIC,ROCKVILLE,1D,ROCKVILLE,MD,20850,RCPD
201087161,2601,1,Crime Against Property,False Pretenses/Swindle/Confidence Game,FRAUD - CONFIDENCE GAME,BETHESDA,2D,POTOMAC,MD,20854,MCPD
201087163,2999,1,Crime Against Property,Destruction/Damage/Vandalism of Property,DAMAGE PROPERTY (DESCRIBE OFFENSE),ROCKVILLE,1D,ROCKVILLE,MD,20850,RCPD
201087164,1210,1,Crime Against Property,Robbery,ROBBERY - FORCIBLE PURSE SNATCHING,GERMANTOWN,5D,GERMANTOWN,MD,20874,MCPD
201087164,3699,1,Crime Against Person,Fondling,SEX OFFENSE - FONDLING,GERMANTOWN,5D,GERMANTOWN,MD,20874,MCPD
201087165,1399,1,Crime Against Person,Simple Assault,ASSAULT - 2ND DEGREE,SILVER SPRING,3D,SILVER SPRING,MD,20901,MCPD
201087167,1399,1,Crime Against Person,Simple Assault,ASSAULT - 2ND DEGREE,GERMANTOWN,5D,BOYDS,MD,20841,MCPD
201087171,9106,1,Other,All Other Offenses,MENTAL ILLNESS,BETHESDA,2D,BETHESDA,MD,20817,MCPD
201087174,3615,1,Crime Against Society,All Other Offenses,SEX OFFENSE - INDECENT EXPOSURE TO ADULT,SILVER SPRING,3D,SILVER SPRING,MD,20902,MCPD
201087177,9199,1,Other,All Other Offenses,POLICE INFORMATION,WHEATON,4D,ROCKVILLE,MD,20906,MCPD
201087179,9106,1,Other,All Other Offenses,MENTAL ILLNESS,CITY OF TAKOMA PARK,8D,TAKOMA PARK,MD,20912,TPPD
201087181,2601,1,Crime Against Property,False Pretenses/Swindle/Confidence Game,FRAUD - CONFIDENCE GAME,GERMANTOWN,5D,DAMASCUS,MD,20872,MCPD
201087184,5404,1,Crime Against Society,Driving Under the Influence,DRIVING UNDER THE INFLUENCE LIQUOR,GERMANTOWN,5D,GERMANTOWN,MD,20874,MCPD
201087185,5311,1,Crime Against Society,Disorderly Conduct,PUBLIC PEACE - DISORDERLY CONDUCT,WHEATON,4D,SILVER SPRING,MD,20902,MCPD
201087186,2303,1,Crime Against Property,Shoplifting,LARCENY - SHOPLIFTING,MONTGOMERY VILLAGE,6D,GAITHERSBURG,MD,20878,MCPD
201087188,2305,1,Crime Against Property,Theft From Motor Vehicle,LARCENY - FROM AUTO,SILVER SPRING,3D,SILVER SPRING,MD,20903,MCPD
201087194,4199,1,Crime Against Society,Liquor Law Violations,LIQUOR (DESCRIBE OFFENSE),SILVER SPRING,3D,SILVER SPRING,MD,20903,MCPD
201087195,4199,1,Crime Against Society,Liquor Law Violations,LIQUOR (DESCRIBE OFFENSE),ROCKVILLE,1D,ROCKVILLE,MD,20851,MCPD
201087197,4199,1,Crime Against Society,Liquor Law Violations,LIQUOR (DESCRIBE OFFENSE),ROCKVILLE,1D,ROCKVILLE,MD,20851,MCPD
201087200,2205,1,Crime Against Property,Burglary/Breaking and Entering,BURGLARY - NO FORCED ENTRY-NONRESIDENTIAL,BETHESDA,2D,BETHESDA,MD,20817,MCPD
201087208,9109,1,Other,All Other Offenses,RECOVERED PROPERTY - OTHER,WHEATON,4D,SILVER SPRING,MD,20902,MCPD
201087209,9042,1,Other,All Other Offenses,SUICIDE - ATTEMPT,BETHESDA,2D,CHEVY CHASE,MD,20814,MCPD
201087211,4199,1,Crime Against Society,Liquor Law Violations,LIQUOR (DESCRIBE OFFENSE),WHEATON,4D,ROCKVILLE,MD,20906,MCPD
201087212,3562,1,Crime Against Society,Drug/Narcotic Violations,DRUGS - MARIJUANA - POSSESS,WHEATON,4D,ROCKVILLE,MD,20853,MCPD
201087213,2303,1,Crime Against Property,Shoplifting,LARCENY - SHOPLIFTING,MONTGOMERY VILLAGE,6D,GAITHERSBURG,MD,20877,GPD
201087217,3562,1,Crime Against Society,Drug/Narcotic Violations,DRUGS - MARIJUANA - POSSESS,ROCKVILLE,1D,POTOMAC,MD,20850,RCPD
201087217,5404,1,Crime Against Society,Driving Under the Influence,DRIVING UNDER THE INFLUENCE LIQUOR,ROCKVILLE,1D,POTOMAC,MD,20850,RCPD
201087218,2308,1,Crime Against Property,Theft from Building,LARCENY - FROM BLDG,CITY OF TAKOMA PARK,8D,TAKOMA PARK,MD,20912,TPPD
201087219,2304,1,Crime Against Property,Theft of Motor Vehicle Parts or Accessories,LARCENY - AUTO PARTS,SILVER SPRING,3D,SILVER SPRING,MD,20904,MCPD
201087221,9199,1,Other,All Other Offenses,POLICE INFORMATION,SILVER SPRING,3D,SILVER SPRING,MD,20901,MCPD
201087222,2303,1,Crime Against Property,Shoplifting,LARCENY - SHOPLIFTING,SILVER SPRING,3D,SILVER SPRING,MD,20904,MCPD
